0.657	0.657	0.817	3.162	0
0.496	-0.161	0.221	4.123	0
0.115	-0.382	0.104	5.099	0
-0.371	-0.486	-0.082	6.325	0
-0.434	0.103	0.194	5.099	0
-0.452	0.28	-0.083	2.236	0
-0.089	0.364	0.128	1	0
0.148	0.236	0.086	1.414	0
0.298	0.15	0.106	2.236	0
0.342	0.044	-0.048	2.236	0
0.434	0.092	0.018	1.414	0
0.508	0.074	0.135	1	0
0.447	-0.06	0.124	2	0
0.263	-0.184	0.041	3	0
0.038	-0.225	-0.132	4.123	0
-0.055	-0.093	0.248	5.099	0
-0.397	-0.342	-0.082	6.083	0
-0.304	0.222	0.008	2.828	0
-0.091	0.214	0.034	2.236	0
0.089	0.18	0.101	2	0
0.168	0.079	-0.024	1.414	0
0.271	0.103	0.145	2	0
0.228	-0.043	0.019	2.236	0
0.167	-0.061	-0.036	2.828	0
0.141	-0.025	0.063	3.606	0
0.053	-0.089	0.137	4.472	0
-0.173	-0.226	-0.133	5.099	0
-0.266	-0.093	0.178	6.083	0
-0.497	0.148	0.191	2	0
-0.463	0.077	-0.078	2.828	0
-0.307	0.156	0.101	4.243	0
-0.252	0.055	0.109	5	0
-0.307	-0.054	-0.044	5.831	0
-0.316	-0.01	0.045	6.708	0
-0.371	-0.055	-0.004	7.071	0
-0.423	-0.051	0.095	6.403	0
-0.447	0.312	0.005	2.828	0
-0.14	0.307	0.031	2.236	0
0.136	0.276	0.096	1	0
0.316	0.18	0.065	1	0
0.431	0.115	0.047	1.414	0
0.5	0.068	0.015	2.236	0
0.553	0.053	0.255	3.162	0
0.351	-0.202	0.057	4	0
0.092	-0.259	0.093	5.099	0
-0.259	-0.352	-0.096	5.385	0
-0.514	-0.255	0.017	6.708	0
-0.364	0.161	-0.076	5	1
-0.128	0.237	0.019	4.472	1
0.091	0.218	0.092	4.123	1
0.217	0.126	0.087	3	1
0.256	0.039	-0.115	2	1
0.41	0.154	0.171	1.414	1
0.394	-0.016	-0.054	2	1
0.431	0.038	0.105	2.828	1
0.364	-0.068	0.014	2.236	1
0.281	-0.082	0.056	2	1
0.144	-0.138	0.042	1.414	1
-0.036	-0.179	0.062	1	1
-0.277	-0.241	-0.039	2.236	1
-0.479	-0.202	-0.079	2.828	1
-0.154	0.413	0.092	1	0
0.167	0.321	0.185	0	0
0.304	0.136	0.107	1	0
0.333	0.029	0.078	2.236	0
0.284	-0.048	-0.16	2	0
0.396	0.112	0.102	1	0
0.406	0.01	0.173	0	0
0.243	-0.164	0.169	1	0
-0.091	-0.333	-0.063	2	0
-0.361	-0.27	-0.003	3	0
-0.496	0.088	0.088	3.162	0
-0.496	0	0	3.606	0
-0.496	0	0	2.828	0
-0.496	0	0	2.236	0
-0.496	0	0.152	2	0
